"Date","Locations","Cumulative_All_Ages","Cumulative_Child","Perc_Children_Total","per_100k_children","weekly_count","child_weekly_count"
2020-04-16,"46_states,_NYC,_and_DC",456923,9259,2,13.3,NA,NA
2020-04-23,"48_states,_NYC,_DC,_PR,_and_GU",710953,15911,2.2,21.2,254030,6652
2020-04-30,"47_states,_NYC,_DC,_and_PR",849615,23096,2.7,31.8,138662,7185
2020-05-07,"46_states,_NYC,_DC,_PR,_and_GU",1010112,32568,3.2,45,160497,9472
2020-05-14,"47_states,_NYC,_DC,_PR,_and_GU",1159407,42370,3.7,58.3,149295,9802
2020-05-21,"47_states,_NYC,_DC,_PR,_and_GU",1288305,54031,4.2,74.4,128898,11661
2020-05-28,"47_states,_NYC,_DC,_PR,_and_GU",1425154,66513,4.7,91.5,136849,12482
2020-06-04,"49_states,_NYC,_DC,_PR,_and_GU",1623334,84016,5.2,110.7,198180,17503
2020-06-11,"49_states,_NYC,_DC,_PR,_and_GU",1750240,98246,5.6,129.4,126906,14230
2020-06-18,"49_states,_NYC,_DC,_PR,_and_GU",1885905,116176,6.2,153,135665,17930
2020-06-25,"49_states,_NYC,_DC,_PR,_and_GU",2073387,138213,6.7,182,187482,22037
2020-07-02,"49_states,_NYC,_DC,_PR,_and_GU",2335060,165845,7.1,218.4,261673,27632
2020-07-09,"49_states,_NYC,_DC,_PR,_and_GU",2651066,200184,7.6,263.7,316006,34339
2020-07-16,"49_states,_NYC,_DC,_PR,_and_GU",3042413,241904,8,318.6,391347,41720
2020-07-23,"49_states,_NYC,_DC,_PR,_and_GU",3416630,288287,8.4,379.7,374217,46383
2020-07-30,"49_states,_NYC,_DC,_PR,_and_GU",3835573,338982,8.8,446.5,418943,50695
2020-08-06,"49_states,_NYC,_DC,_PR,_and_GU",4159947,380174,9.1,500.7,324374,41192
2020-08-13,"49_states,_NYC,_DC,_PR,_and_GU",4486830,406109,9.1,538.1,326883,25935
2020-08-20,"49_states,_NYC,_DC,_PR,_and_GU",4766825,442785,9.3,583.2,279995,36676
2020-08-27,"49_states,_NYC,_DC,_PR,_and_GU",5018113,476439,9.5,631.3,251288,33654
2020-09-03,"49_states,_NYC,_DC,_PR,_and_GU",5265157,513415,9.8,680.3,247044,36976
2020-09-10,"49_states,_NYC,_DC,_PR,_and_GU",5493006,549432,10,728.5,227849,36017
2020-09-17,"49_states,_NYC,_DC,_PR,_and_GU",5721402,587948,10.3,779.5,228396,38516
2020-09-24,"49_states,_NYC,_DC,_PR,_and_GU",5965268,624890,10.5,828.5,243866,36942
2020-10-01,"49_states,_NYC,_DC,_PR,_and_GU",6231564,657572,10.6,873.7,266296,32682
2020-10-08,"49_states,_NYC,_DC,_PR,_and_GU",6505390,697633,10.7,926.9,273826,40061
2020-10-15,"49_states,_NYC,_DC,_PR,_and_GU",6837527,741891,10.9,985.7,332137,44258
2020-10-22,"49_states,_NYC,_DC,_PR,_and_GU",7207186,792188,11,1052.5,369659,50297
2020-10-29,"49_states,_NYC,_DC,_PR,_and_GU",7669038,853635,11.1,1134.1,461852,61447
2020-11-05,"49_states,_NYC,_DC,_PR,_and_GU",8236710,927518,11.3,1232.3,567672,73883
2020-11-12,"49_states,_NYC,_DC,_PR,_and_GU",9037991,1039464,11.5,1381,801281,111946
